Date,avg_water_temp
01-01-2001,28.00
02-01-2001,26.00
03-01-2001,27.67
04-01-2001,30.67
05-01-2001,31.67
06-01-2001,32.00
07-01-2001,29.05
08-01-2001,26.00
09-01-2001,27.02
10-01-2001,28.00
11-01-2001,25.46
12-01-2001,23.00
01-01-2002,25.50
02-01-2002,28.00
03-01-2002,29.42
04-01-2002,31.00
05-01-2002,31.98
06-01-2002,33.00
07-01-2002,30.54
08-01-2002,28.00
09-01-2002,30.03
10-01-2002,32.00
11-01-2002,29.46
12-01-2002,27.00
01-01-2003,26.50
02-01-2003,26.00
03-01-2003,28.85
04-01-2003,32.00
05-01-2003,33.97
06-01-2003,36.00
07-01-2003,32.07
08-01-2003,28.00
09-01-2003,29.02
10-01-2003,30.00
11-01-2003,27.97
12-01-2003,26.00
01-01-2004,26.00
02-01-2004,26.00
03-01-2004,27.93
04-01-2004,30.00
05-01-2004,29.90
06-01-2004,29.80
07-01-2004,29.70
08-01-2004,29.60
09-01-2004,29.50
10-01-2004,29.40
11-01-2004,29.30
12-01-2004,29.20
01-01-2005,29.10
02-01-2005,29.00
03-01-2005,28.90
04-01-2005,28.80
05-01-2005,28.70
06-01-2005,28.60
07-01-2005,28.50
08-01-2005,28.40
09-01-2005,28.30
10-01-2005,28.20
11-01-2005,28.10
12-01-2005,28.00
01-01-2006,27.00
02-01-2006,26.00
03-01-2006,26.00
04-01-2006,26.00
05-01-2006,25.97
06-01-2006,25.93
07-01-2006,25.90
08-01-2006,25.86
09-01-2006,25.83
10-01-2006,25.79
11-01-2006,25.76
12-01-2006,25.72
01-01-2007,25.69
02-01-2007,25.65
03-01-2007,25.62
04-01-2007,25.59
05-01-2007,25.55
06-01-2007,25.52
07-01-2007,25.48
08-01-2007,25.45
09-01-2007,25.41
10-01-2007,25.38
11-01-2007,25.34
12-01-2007,25.31
01-01-2008,25.27
02-01-2008,25.24
03-01-2008,25.21
04-01-2008,25.17
05-01-2008,25.14
06-01-2008,25.10
07-01-2008,25.07
08-01-2008,25.03
09-01-2008,25.00
10-01-2008,24.96
11-01-2008,24.93
12-01-2008,24.90
01-01-2009,24.86
02-01-2009,24.83
03-01-2009,24.79
04-01-2009,24.76
05-01-2009,24.72
06-01-2009,24.69
07-01-2009,24.66
08-01-2009,24.62
09-01-2009,24.58
10-01-2009,24.55
11-01-2009,24.52
12-01-2009,24.48
01-01-2010,24.45
02-01-2010,24.41
03-01-2010,24.38
04-01-2010,24.34
05-01-2010,24.31
06-01-2010,24.28
07-01-2010,24.24
08-01-2010,24.21
09-01-2010,24.17
10-01-2010,24.14
11-01-2010,24.10
12-01-2010,24.07
01-01-2011,24.03
02-01-2011,24.00
03-01-2011,23.97
04-01-2011,23.93
05-01-2011,23.90
06-01-2011,23.86
07-01-2011,23.83
08-01-2011,23.79
09-01-2011,23.76
10-01-2011,23.72
11-01-2011,23.69
12-01-2011,23.65
01-01-2012,23.62
02-01-2012,23.58
03-01-2012,23.55
04-01-2012,23.52
05-01-2012,23.48
06-01-2012,23.45
07-01-2012,23.41
08-01-2012,23.38
09-01-2012,23.34
10-01-2012,23.31
11-01-2012,23.27
12-01-2012,23.24
01-01-2013,23.21
02-01-2013,23.17
03-01-2013,23.14
04-01-2013,23.10
05-01-2013,23.07
06-01-2013,23.03
07-01-2013,23.00
08-01-2013,28.00
09-01-2013,25.00
10-01-2013,29.00
11-01-2013,29.00
12-01-2013,25.00
01-01-2014,24.00
02-01-2014,26.10
03-01-2014,28.00
04-01-2014,25.00
05-01-2014,25.00
06-01-2014,25.00
07-01-2014,25.00
08-01-2014,25.00
09-01-2014,25.00
10-01-2014,25.00
11-01-2014,25.00
12-01-2014,25.00
01-01-2015,25.00
02-01-2015,25.00
03-01-2015,25.00
04-01-2015,25.00
05-01-2015,27.00
