Date,avg_water_temp
06-01-2005,33.40
07-01-2005,29.20
08-01-2005,27.70
09-01-2005,33.30
10-01-2005,29.30
11-01-2005,26.86
12-01-2005,24.50
01-01-2006,19.40
02-01-2006,21.30
03-01-2006,25.40
04-01-2006,28.10
05-01-2006,28.30
06-01-2006,34.20
07-01-2006,30.40
08-01-2006,25.00
09-01-2006,26.70
10-01-2006,30.20
11-01-2006,25.60
12-01-2006,22.00
01-01-2007,23.20
02-01-2007,23.00
03-01-2007,23.00
04-01-2007,29.90
05-01-2007,32.40
06-01-2007,32.00
07-01-2007,30.00
08-01-2007,29.50
09-01-2007,28.50
10-01-2007,30.50
11-01-2007,26.60
12-01-2007,21.60
01-01-2008,19.80
02-01-2008,19.00
03-01-2008,24.40
04-01-2008,28.00
05-01-2008,26.00
06-01-2008,26.84
07-01-2008,27.66
08-01-2008,28.50
09-01-2008,30.90
10-01-2008,25.80
11-01-2008,24.86
12-01-2008,23.94
01-01-2009,23.00
02-01-2009,23.26
03-01-2009,23.50
04-01-2009,24.43
05-01-2009,25.33
06-01-2009,26.27
07-01-2009,27.17
08-01-2009,28.10
09-01-2009,28.00
10-01-2009,31.10
11-01-2009,30.10
12-01-2009,25.00
01-01-2010,25.00
02-01-2010,25.00
03-01-2010,25.00
04-01-2010,25.00
05-01-2010,25.00
06-01-2010,25.00
07-01-2010,25.00
08-01-2010,25.00
09-01-2010,24.00
10-01-2010,25.00
11-01-2010,25.00
12-01-2010,24.00
01-01-2011,18.00
02-01-2011,15.00
03-01-2011,19.00
04-01-2011,25.00
05-01-2011,24.51
06-01-2011,24.00
07-01-2011,23.51
08-01-2011,23.00
09-01-2011,28.60
10-01-2011,24.00
11-01-2011,27.50
12-01-2011,23.90
01-01-2012,23.40
02-01-2012,22.50
03-01-2012,22.80
04-01-2012,31.00
05-01-2012,30.50
06-01-2012,28.31
07-01-2012,26.19
08-01-2012,24.00
09-01-2012,23.00
10-01-2012,23.00
11-01-2012,26.20
12-01-2012,20.30
01-01-2013,21.50
02-01-2013,22.30
03-01-2013,23.80
04-01-2013,29.90
05-01-2013,32.00
06-01-2013,32.50
07-01-2013,27.70
08-01-2013,26.50
09-01-2013,24.00
10-01-2013,26.30
11-01-2013,25.00
12-01-2013,23.00
01-01-2014,18.00
02-01-2014,21.00
03-01-2014,24.00
04-01-2014,29.00
05-01-2014,30.00
06-01-2014,31.80
07-01-2014,30.00
08-01-2014,28.00
09-01-2014,24.60
10-01-2014,27.00
11-01-2014,25.60
12-01-2014,23.50
01-01-2015,14.00
02-01-2015,14.00
03-01-2015,20.00
04-01-2015,22.00
05-01-2015,32.00
06-01-2015,32.00
07-01-2015,29.00
08-01-2015,28.00
09-01-2015,27.00
10-01-2015,30.00
11-01-2015,28.00
12-01-2015,25.00
01-01-2016,23.00
02-01-2016,24.00
03-01-2016,28.00
04-01-2016,28.00
05-01-2016,30.00
06-01-2016,32.00
07-01-2016,28.50
08-01-2016,28.00
09-01-2016,27.00
10-01-2016,29.00
11-01-2016,25.00
12-01-2016,23.00
01-01-2017,20.00
02-01-2017,18.00
03-01-2017,22.00
04-01-2017,26.00
05-01-2017,27.00
06-01-2017,30.00
07-01-2017,24.00
08-01-2017,23.00
